Age,Relationship Categories,relationship_other,Care giving experience,sole caregiver or not,hours spent for care_weekly,hours works at job,living situation,living situation_other,fund_ All the care they receive is free or donated,fund_family contributions,"fund_pension, savings, or retirement fund","fund_medicare, medicaid, SSDI, or VA benefits",fund_medical insurance,fund_long-term care insurance,fund_other,received_federal state local fund,"
lacking any support",training_support,access_support,group_support,counselling_support,respite care_support,loved one physician_support,financial_support,employer accommodation_support,support_other,unmet caregiver need_ none,unmet caregiver need_ employer accommodation,unmet caregiver need_training,unmet caregiver need_access,unmet caregiver need_groups,unmet caregiver need_counseling,unmet caregiver need_respite care,unmet caregiver need_loved one physician,unmet caregiver need_financial,unmet caregiver need_other,unmet caregiver need_none of the above,difficulties_obligation,difficulties_physical demands,difficulties_emotional stress,difficulties_life balance,difficulties_boundaries of commit to caregiving,Financial strain,difficulties_loss of sleep,difficulties_help needed not requested,difficulties_depression,difficulties_other,experience anxiety or depression,struggling with restful sleep,"
fluctuating appetite patterns","
difficulty connecting socially","
lost joy in activities",constantly feeling overwhelmed,mental state self description,feel trapped,losing temper,health issues hinder care,constant worry when away,fear of not doing enough,work_hours,Occupations,Name,Bio,Behavior 1,Behavior 2,Behavior 3,Behavior 4,Behavior 5,Core Needs 1,Core Needs 2,Core Needs 3,Core Needs 4,Core Needs 5
18 - 19,Other (please specify),Aunt and Sister,Over 5 years,No,45,100,"In a home or apartment, with family or a roommate",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,Loss of sleep,,Depression,,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,Average,Neutral,Strongly disagree,Agree,Agree,Strongly disagree,100,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,Less than a year,No,8,40,"In their home or apartment, alone",,,Family contributions,,,,Long-term care insurance,,No,,,Help in getting access to services,,,,,,,,,,,Help in getting access to services,,,,Support from my loved one鈥檚 physicians,Financial support,,,,,,,,Financial strain,Loss of sleep,,,,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Average,Neutral,Agree,Agree,Disagree,Neutral,40,Full-time employed,,,,,,,,,,,,
60 - 69,Parent,,3 - 5 years,No,50,40,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund",,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,Depression,,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Agree,Below average,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Parent,,1 - 2 years,No,8,40,"In a home or apartment, with family or a roommate",,,Family contributions,"Pension, savings, or retirement fund",,Medical insurance,Long-term care insurance,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,,,,,,,,,,,Emotional stress,,Setting boundaries with how much time I commit to caregiving,,,,Depression,,Strongly agree,Strongly agree,Disagree,Neutral,Agree,Neutral,Below average,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Other family member,,1 - 2 years,No,15,35,"In a home or apartment, with family or a roommate",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,,Physical demands,Emotional stress,,Setting boundaries with how much time I commit to caregiving,,,,,,Strongly agree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Average,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Disagree,35,Part-time employed,,,,,,,,,,,,
80 - 89,Parent,,1 - 2 years,Yes,20,40,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,Individual counseling to help cope with giving care,,,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Agree,Agree,Neutral,Agree,Neutral,Agree,Below average,Agree,Disagree,Agree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Parent,,3 - 5 years,No,7,15,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,Individual counseling to help cope with giving care,,Support from my loved one鈥檚 physicians,,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,Depression,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Average,Agree,Agree,Disagree,Agree,Agree,15,Part-time employed,,,,,,,,,,,,
60 - 69,Other family member,,3 - 5 years,Yes,20,40,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,,,Individual counseling to help cope with giving care,,,Financial support,,,,,,Help in getting access to services,,,,,Financial support,,,,,,,,Financial strain,Loss of sleep,,Depression,,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,Below average,Agree,Agree,Agree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Other family member,,3 - 5 years,Yes,21,32,"They live with me, or another caregiver",,,Family contributions,,,,,,Yes,,"Classes about giving care, such as giving medications",,Support groups,,,Support from my loved one鈥檚 physicians,,,,,Accommodation from my employer,,Help in getting access to services,,Individual counseling to help cope with giving care,,,,,,,Physical demands,Emotional stress,,,,,I need more help but don鈥檛 want to ask,,,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Neutral,Excellent,Disagree,Neutral,Neutral,Neutral,Disagree,32,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,No,3,44,"In their home or apartment, alone",,,Family contributions,,,,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,None of the above,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Average,Disagree,Disagree,Disagree,Disagree,Disagree,44,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,Over 5 years,Yes,70,0,"In a home or apartment, with family or a roommate",,All the care they receive is free or donated,,,,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,,,,,Setting boundaries with how much time I commit to caregiving,Financial strain,,,Depression,,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Below average,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,0,Retired,,,,,,,,,,,,
60 - 69,Parent,,1 - 2 years,No,5,40,"They live with me, or another caregiver",,All the care they receive is free or donated,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,"Classes about giving care, such as giving medications",Help in getting access to services,,,,,Financial support,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,,,,,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Agree,Average,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,1 - 2 years,No,12,40,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,,,,,,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Agree,Agree,Disagree,Disagree,Disagree,Strongly agree,Average,Disagree,Disagree,Neutral,Neutral,Neutral,40,Full-time employed,,,,,,,,,,,,
60 - 69,Parent,,1 - 2 years,No,20,20,"They live with me, or another caregiver",,All the care they receive is free or donated,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,I feel obligated to help because no one else will,,,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Agree,Strongly agree,Disagree,Disagree,Neutral,Disagree,Below average,Agree,Disagree,Agree,Agree,Strongly agree,20,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,1 - 2 years,No,10,40,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund",,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,,,,Agree,Strongly agree,Neutral,Neutral,Agree,Agree,Average,Neutral,Disagree,Neutral,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Other family member,,Less than a year,No,5,40,"In a home or apartment, with family or a roommate",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,,,Individual counseling to help cope with giving care,,,,,,,Accommodation from my employer,,,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,,,Emotional stress,,Setting boundaries with how much time I commit to caregiving,Financial strain,,,Depression,,Agree,Disagree,Strongly disagree,Neutral,Agree,Agree,Good,Disagree,Strongly disagree,Disagree,Neutral,Neutral,40,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,3 - 5 years,Yes,10,30,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund",,Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Agree,Strongly disagree,Disagree,Neutral,Neutral,Strongly agree,Below average,Agree,Agree,Disagree,Neutral,Agree,30,Part-time employed,,,,,,,,,,,,
80 - 89,Other family member,,3 - 5 years,No,5,25,"In a home or apartment, with family or a roommate",,All the care they receive is free or donated,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,Support groups,Individual counseling to help cope with giving care,,,Financial support,,,,,,,Support groups,,,,,,,,,Emotional stress,,,Financial strain,Loss of sleep,,,,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Average,Agree,Disagree,Agree,Disagree,Disagree,25,Part-time employed,,,,,,,,,,,,
60 - 69,Other family member,,1 - 2 years,No,10,48,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund",,,Long-term care insurance,,No,I do not currently receive any of these types of support,,,,,,,,,,,,"Classes about giving care, such as giving medications",Help in getting access to services,,,,,Financial support,,,,,,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,,,Disagree,Agree,Neutral,Disagree,,Agree,Average,Disagree,Agree,Disagree,Agree,Agree,48,Full-time employed,,,,,,,,,,,,
90+,Parent,,3 - 5 years,No,10,20,Other (please specify),Living with her in her home,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,Help in getting access to services,,,,,,,,,,,,,,,,Financial support,,,,,Emotional stress,,,,,,Depression,,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Average,Disagree,Disagree,Disagree,Agree,Agree,20,Part-time employed,,,,,,,,,,,,
80 - 89,Other family member,,1 - 2 years,No,12,0,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund",,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,Individual counseling to help cope with giving care,,,,,,,,Emotional stress,,,,Loss of sleep,,,,Agree,Neutral,Disagree,Agree,Agree,Agree,Below average,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,0,Retired,,,,,,,,,,,,
80 - 89,Other family member,,1 - 2 years,No,14,25,"In their home or apartment, alone",,,Family contributions,,,Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,None of the above,,,,,,,,,,,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Good,Disagree,Disagree,Disagree,Strongly disagree,Disagree,25,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,No,10,40,"They live with me, or another caregiver",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,Respite care (short-term or long-term breaks for people who provide care),,,,,,,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Agree,Agree,Disagree,Disagree,Neutral,Agree,Average,Agree,Agree,Neutral,Neutral,Neutral,40,Full-time employed,,,,,,,,,,,,
40 - 49,Other family member,,Over 5 years,No,4,30,"In a home or apartment, with family or a roommate",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,I need more help but don鈥檛 want to ask,,,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Good,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,30,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,Over 5 years,Yes,25,44,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,,,,Financial support,,,,,,,,Financial strain,,,,,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Excellent,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,44,Full-time employed,,,,,,,,,,,,
60 - 69,Other family member,,3 - 5 years,No,10,30,"In a home or apartment, with family or a roommate",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,,,,Accommodation from my employer,,,,,Help in getting access to services,,,,,,,,I feel obligated to help because no one else will,,,,,,Loss of sleep,,,,Disagree,Agree,,Disagree,Neutral,Agree,Average,Disagree,Neutral,Neutral,Agree,Agree,30,Part-time employed,,,,,,,,,,,,
80 - 89,Other family member,,Over 5 years,No,10,40,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,Yes,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,I feel obligated to help because no one else will,,,,,Financial strain,,,,,Agree,Agree,Agree,Agree,Agree,Neutral,Average,Disagree,Neutral,Disagree,Disagree,Disagree,40,Full-time employed,,,,,,,,,,,,
